"","Danceability","Energy","Loudness","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Duration_ms"
"Danceability",1,0.2241,0.335,0.2099,-0.267,-0.3035,-0.0812,0.4647,-0.0745,-0.1171
"Energy",0.2241,1,0.7428,0.0626,-0.6603,-0.2944,0.1707,0.3832,0.1617,0.0208
"Loudness",0.335,0.7428,1,0.0258,-0.5449,-0.5281,0.0876,0.2996,0.1464,0.0062
"Speechiness",0.2099,0.0626,0.0258,1,-0.0725,-0.1059,0.0935,0.0563,0.029,-0.0742
"Acousticness",-0.267,-0.6603,-0.5449,-0.0725,1,0.2601,-0.0365,-0.1978,-0.1294,-0.0364
"Instrumentalness",-0.3035,-0.2944,-0.5281,-0.1059,0.2601,1,-0.0625,-0.2588,-0.074,-0.0023
"Liveness",-0.0812,0.1707,0.0876,0.0935,-0.0365,-0.0625,1,0.0366,0.0096,0.0036
"Valence",0.4647,0.3832,0.2996,0.0563,-0.1978,-0.2588,0.0366,1,0.0912,-0.0697
"Tempo",-0.0745,0.1617,0.1464,0.029,-0.1294,-0.074,0.0096,0.0912,1,-0.0123
"Duration_ms",-0.1171,0.0208,0.0062,-0.0742,-0.0364,-0.0023,0.0036,-0.0697,-0.0123,1
