"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"Danceability",-0.3179,0.548,-0.1521,0.101,0.0762,0.0891,-0.1386,0.6612,0.2505,0.1799
"Energy",-0.4777,-0.2607,0.032,0.0034,-0.1281,-0.1678,-0.2278,-0.2891,0.2243,0.6873
"Loudness",-0.4884,-0.1684,-0.0731,0.0348,-0.0712,-0.1063,0.2201,-0.0982,0.5532,-0.5882
"Speechiness",-0.1014,0.3582,0.5782,0.0566,0.6034,-0.2781,-0.0829,-0.2647,0.0319,-0.0664
"Acousticness",0.415,0.2285,0.0671,-0.0019,-0.027,0.4389,0.2325,-0.2809,0.6265,0.2286
"Instrumentalness",0.349,-0.0848,0.0218,-0.1269,-0.1188,-0.2115,-0.7941,0.0662,0.3412,-0.2104
"Liveness",-0.0775,-0.2215,0.732,0.3119,-0.3519,0.3245,-0.0489,0.2775,-0.0267,-0.0506
"Valence",-0.3284,0.3202,-0.105,-0.0763,-0.1277,0.5617,-0.3887,-0.4238,-0.2557,-0.2118
"Tempo",-0.1169,-0.2969,0.1592,-0.7754,0.3303,0.3196,0.0079,0.2386,0.0502,0.0288
"Duration_ms",0.0196,-0.4194,-0.2428,0.5147,0.5869,0.3391,-0.1881,0.0517,0.0487,-0.0011
