"Feature","Mean","Median","SD","Min","Max","Skewness","Kurtosis","Outliers","Shape","Outlier_pct"
"Danceability",0.617588778107764,0.634,0.164530059079738,0,0.975,-0.514586993182628,0.0839090104451623,213,"Left-skewed (negative)",1.13
"Energy",0.634254605287442,0.665,0.215580232449227,2.03e-05,1,-0.68665816673187,0.0610326934400351,281,"Left-skewed (negative)",1.49
"Loudness",-7.70842861688587,-6.5885,4.61048026572763,-46.251,0.92,-2.66189166128429,10.6149572062892,1131,"Left-skewed (negative)",6
"Speechiness",0.0954019251166737,0.0498,0.112923297383774,0,0.964,3.48284658618181,17.336014229051,2405,"Right-skewed (positive)",12.75
"Acousticness",0.29023514022168,0.188,0.288186982147609,1.11e-06,0.996,0.883547605645902,-0.404636218260352,0,"Right-skewed (positive)",0
"Instrumentalness",0.0564258078977514,2.82e-06,0.192980442502045,0,1,3.69633426602624,12.5118360262935,4022,"Right-skewed (positive)",21.33
"Liveness",0.193064446330081,0.125,0.167412368385855,0.0145,1,2.30002910283539,5.8268463967188,1331,"Right-skewed (positive)",7.06
"Valence",0.530042668116249,0.536,0.246662539023547,0,0.993,-0.0896063553016795,-0.942317882243417,0,"Approx. symmetric",0
"Tempo",120.797889106916,119.976,29.6389104260236,0,243.372,0.38864865510616,-0.181501778980376,57,"Approx. symmetric",0.3
"Duration_ms",222367.973536275,213273.5,90658.7544007775,30985,4676058,19.6473716122557,853.620476908778,692,"Right-skewed (positive)",3.67
