"Term","Full","Refit","Pct_Change","Sig_Full","Sig_Refit"
"(Intercept)",12.6073,12.7503,1.1,"*","*"
"Danceability",0.5831,0.3818,-34.5,"*","*"
"Energy",-0.1782,-0.2461,-38.1,"*","*"
"Speechiness",-2.3183,-1.1479,50.5,"*","*"
"Acousticness",-0.5079,-0.5469,-7.7,"*","*"
"Instrumentalness",-0.938,-0.9625,-2.6,"*","*"
"Liveness",-0.3649,-0.2804,23.2,"*","*"
"Valence",-0.3741,-0.389,-4,"*","*"
"Tempo",0.0019,0.0013,-31.6,"*","*"
"ln_Duration",0.405,0.4117,1.7,"*","*"
"official_videoHas_MV",0.0839,0.1371,63.4,"","*"
"LicensedLicensed",0.263,0.2142,-18.6,"*","*"
