"term","Estimate","Std. Error","t value","Pr(>|t|)","exp_beta"
"(Intercept)",9.53643765543178,0.475834551393354,20.0414989359366,1.94599510373774e-88,13855.5015342336
"Danceability",1.1897187659044,0.0844640772003039,14.0855000769501,7.82371875132329e-45,3.28615689805234
"Energy",-0.0448835359322016,0.0767556011256994,-0.584759096065155,0.558716626464658,0.956108827672408
"Speechiness",-1.44021915195755,0.110372782434175,-13.0486803013821,9.47437465756213e-39,0.236875841189127
"Acousticness",-0.35652738403328,0.0540076355252096,-6.60142553115218,4.17939724978884e-11,0.700103299555065
"Instrumentalness",-0.917375611886083,0.0638592172509647,-14.3655943711434,1.48851630710343e-46,0.399566283303056
"Liveness",-0.447412864077715,0.0692235808666467,-6.46330135592982,1.04922535748718e-10,0.639279918068739
"Valence",-0.640756096796233,0.0558628697419891,-11.4701607660985,2.34304987656868e-30,0.526893890614462
"Tempo",0.00218530592382637,0.000384934271455751,5.67708849503564,1.38997808169258e-08,1.00218769544511
"ln_Duration",0.0136001097788673,0.0374483198234491,0.363170092623256,0.716481850682843,1.01369301195404
"ln_Days",0.916748361166514,0.0221435230152045,41.4002939160603,0,2.50114433505155
"official_videoOfficial_Video",0.430382876235169,0.0474629729977568,9.06776059425334,1.32992292885486e-19,1.53784621561229
"LicensedLicensed",0.0518721980850966,0.0419476717024972,1.23659302125244,0.21625343397267,1.05324112767856
