"term","Estimate","Std. Error","t value","Pr(>|t|)","exp_beta"
"(Intercept)",9.61481674445619,0.481261720244484,19.97835344056,6.72963213908307e-88,14985.1762951479
"Danceability",1.05429276731426,0.150491661480357,7.00565570838531,2.54024695663383e-12,2.86994471728007
"Energy",-0.0434656245228215,0.0767663120381662,-0.566207016708208,0.571259720551455,0.957465466857573
"Speechiness",-1.43760098234558,0.11039851956674,-13.0219226488495,1.34145066332802e-38,0.237496834897031
"Acousticness",-0.357983232902286,0.054023973213432,-6.62637735821475,3.53215620945771e-11,0.699084796531351
"Instrumentalness",-0.919696570670473,0.0638945797259626,-14.3939685434188,9.92266108421418e-47,0.398639981797506
"Liveness",-0.44636207629182,0.0692299961776823,-6.44752420823785,1.16417518033424e-10,0.639952018654115
"Valence",-0.641667513254659,0.0558688918006491,-11.485237894896,1.9705566019365e-30,0.52641388962434
"Tempo",0.00219139038267471,0.000384973107352883,5.69232068635379,1.27164892430659e-08,1.00219379323345
"ln_Duration",0.0142864748107684,0.0374534612202601,0.381446049184909,0.702876544793188,1.01438901421901
"ln_Days",0.916040445108809,0.0221529871159701,41.3506512829791,0,2.49937436138443
"official_videoOfficial_Video",0.323181912033398,0.109424021462723,2.95348231323682,0.00314593821103008,1.38151664255007
"LicensedLicensed",0.0530396143666978,0.0419612103698254,1.26401535845208,0.20623995791928,1.05447141650934
"Danceability:official_videoOfficial_Video",0.173656793023645,0.159715261202385,1.08728991654463,0.276922439783986,1.18964720052884
