"response","predictor","predictor_type","n","estimate","p_value","r_squared"
"ln_Stream","ln_Days","numeric",19093,0.854749420713136,0,0.0783153929035615
"ln_Stream","Loudness","numeric",20140,0.0584075648234384,6.83453038007196e-122,0.0270015438768117
"ln_Stream","Album_type","categorical",20142,NA,2.2588706517971e-113,0.0254297769871861
"ln_Stream","Instrumentalness","numeric",20140,-1.10070009208708,2.38966590179188e-75,0.0166136085206362
"ln_Stream","Speechiness","numeric",20140,-1.89510861954858,8.04701899114679e-69,0.015149129655642
"ln_Stream","Acousticness","numeric",20140,-0.675262022211043,9.02872377687588e-63,0.0137902015677282
"ln_Stream","Licensed","categorical",19692,NA,3.45952978110642e-54,0.0121280639064262
"ln_Stream","official_video","categorical",19692,NA,4.67784882569828e-48,0.0107166529894181
"ln_Stream","ln_Duration","numeric",20140,0.53327639025968,4.8097606195184e-47,0.0102515200390855
"ln_Stream","Energy","numeric",20140,0.488465405725094,1.96606878706807e-19,0.00402776352419256
"ln_Stream","Danceability","numeric",20140,0.56913958748891,4.58699501972614e-16,0.00327043427515566
"ln_Stream","Liveness","numeric",20140,-0.504497443940905,2.84738622066459e-13,0.00264383779010525
"ln_Stream","Tempo","numeric",20140,0.00172345526377257,1.10103951789986e-05,0.00095932048436397
"ln_Stream","Duration_ms","numeric",20140,2.95861014429705e-07,0.0013396103141144,0.00051071416164946
"ln_Stream","Key","numeric",20140,-0.00324061101022178,0.317948998108278,4.9526508729399e-05
"ln_Stream","Valence","numeric",20140,-0.0049367144195809,0.916908985203621,5.40501446377413e-07
"ln_Views","official_video","categorical",20248,NA,0,0.138547760166804
"ln_Views","Licensed","categorical",20248,NA,0,0.122535604758277
"ln_Views","Loudness","numeric",20247,0.188095395113711,0,0.0948483170206411
"ln_Views","ln_Days","numeric",19632,1.45060555401767,0,0.0797427406383832
"ln_Views","Instrumentalness","numeric",20247,-3.31325520805255,5.60262759971022e-235,0.0515440839150287
"ln_Views","Energy","numeric",20247,2.53176080394547,2.26583904862492e-167,0.0368612828067643
"ln_Views","ln_Duration","numeric",20247,1.62338608838332,7.7431346960658e-146,0.0321384929533419
"ln_Views","Acousticness","numeric",20247,-1.70257819776394,2.13429242336415e-135,0.0298407459660201
"ln_Views","Danceability","numeric",20247,2.64022925675842,1.03572321346311e-108,0.0239442379103548
"ln_Views","Valence","numeric",20247,1.08239719952803,3.21658234146937e-41,0.00889181157594729
"ln_Views","Speechiness","numeric",20247,-2.27898400521556,6.09232506218306e-37,0.00793253800369611
"ln_Views","Duration_ms","numeric",20247,1.51952615763713e-06,5.33273880032686e-22,0.00458140105878181
"ln_Views","Tempo","numeric",20247,0.00508916144817131,2.91649520641849e-14,0.00285053166676058
"ln_Views","Album_type","categorical",20248,NA,4.99568286828061e-11,0.00234053765905065
"ln_Views","Key","numeric",20247,0.0109190728371342,0.0486661388643231,0.000191976040783362
"ln_Views","Liveness","numeric",20247,-0.192508990302025,0.10780911846862,0.000127732547381917
